,Side,Rank_type,Metric,Value
102,head,realistic,adjusted_inverse_harmonic_mean_rank,-0.0030549879577194084
103,tail,realistic,adjusted_inverse_harmonic_mean_rank,-0.0030989661706535086
104,both,realistic,adjusted_inverse_harmonic_mean_rank,-0.003076977243439952
105,head,pessimistic,adjusted_inverse_harmonic_mean_rank,-0.0037385885207184485
106,tail,pessimistic,adjusted_inverse_harmonic_mean_rank,-0.0037396271487177527
107,both,pessimistic,adjusted_inverse_harmonic_mean_rank,-0.0037391078417135064
108,head,optimistic,inverse_arithmetic_mean_rank,0.002357575287177895
109,tail,optimistic,inverse_arithmetic_mean_rank,0.00215309097030861
110,both,optimistic,inverse_arithmetic_mean_rank,0.0022506981332172478
111,head,realistic,inverse_arithmetic_mean_rank,0.0011591686634346843
112,tail,realistic,inverse_arithmetic_mean_rank,0.0011054474161937833
113,both,realistic,inverse_arithmetic_mean_rank,0.001131670898757875
114,head,pessimistic,inverse_arithmetic_mean_rank,0.0007685155316040153
115,tail,pessimistic,inverse_arithmetic_mean_rank,0.0007436195605606218
116,both,pessimistic,inverse_arithmetic_mean_rank,0.0007558626009760893
117,head,optimistic,median_absolute_deviation,0.0
118,tail,optimistic,median_absolute_deviation,100.81695085838093
119,both,optimistic,median_absolute_deviation,162.34494292636342
120,head,realistic,median_absolute_deviation,60.04539108276367
121,tail,realistic,median_absolute_deviation,52.632381439208984
122,both,realistic,median_absolute_deviation,126.02119445800781
123,head,pessimistic,median_absolute_deviation,120.09077969895375
124,tail,pessimistic,median_absolute_deviation,4.447806655516806
125,both,pessimistic,median_absolute_deviation,125.27988746372337
126,head,optimistic,adjusted_arithmetic_mean_rank_index,0.5174760037821465
127,tail,optimistic,adjusted_arithmetic_mean_rank_index,0.47500128198553926
128,both,optimistic,adjusted_arithmetic_mean_rank_index,0.49616888925266156
129,head,realistic,adjusted_arithmetic_mean_rank_index,0.01743962209586236
130,tail,realistic,adjusted_arithmetic_mean_rank_index,-0.02361880466830657
131,both,realistic,adjusted_arithmetic_mean_rank_index,-0.0031570190229146533
132,head,pessimistic,adjusted_arithmetic_mean_rank_index,-0.48259672980411206
133,tail,pessimistic,adjusted_arithmetic_mean_rank_index,-0.5222389527809763
134,both,pessimistic,adjusted_arithmetic_mean_rank_index,-0.5024829432845943
135,head,optimistic,z_arithmetic_mean_rank,13.962932313695823
136,tail,optimistic,z_arithmetic_mean_rank,12.81777326977895
137,both,optimistic,z_arithmetic_mean_rank,18.934088284823407
138,head,realistic,z_arithmetic_mean_rank,0.47056918798397973
139,tail,realistic,z_arithmetic_mean_rank,-0.6373466654154605
140,both,realistic,z_arithmetic_mean_rank,-0.12047364958083051
141,head,pessimistic,z_arithmetic_mean_rank,-13.021793134010924
142,tail,pessimistic,z_arithmetic_mean_rank,-14.092468259058592
143,both,pessimistic,z_arithmetic_mean_rank,-19.175036194023903
144,head,optimistic,variance,193092.33504377722
145,tail,optimistic,variance,196398.8152551271
146,both,optimistic,variance,195151.27431878608
147,head,realistic,variance,192869.921875
148,tail,realistic,variance,195637.890625
149,both,realistic,variance,194693.3125
150,head,pessimistic,variance,192877.44154854445
151,tail,pessimistic,variance,195082.77593185316
152,both,pessimistic,variance,194454.55960304153
153,head,optimistic,adjusted_arithmetic_mean_rank,0.48311338906348505
154,tail,optimistic,adjusted_arithmetic_mean_rank,0.525536194902074
155,both,optimistic,adjusted_arithmetic_mean_rank,0.5043943812652781
156,head,realistic,adjusted_arithmetic_mean_rank,0.9825802412184145
157,tail,realistic,adjusted_arithmetic_mean_rank,1.023592079347547
158,both,realistic,adjusted_arithmetic_mean_rank,1.0031534350502418
159,head,pessimistic,adjusted_arithmetic_mean_rank,1.4820470636209602
160,tail,pessimistic,adjusted_arithmetic_mean_rank,1.5216480251823017
161,both,pessimistic,adjusted_arithmetic_mean_rank,1.5019125048031607
162,head,optimistic,standard_deviation,439.42272932084114
163,tail,optimistic,standard_deviation,443.16905945149995
164,both,optimistic,standard_deviation,441.7592945471392
165,head,realistic,standard_deviation,439.1695861816406
166,tail,realistic,standard_deviation,442.3097229003906
167,both,realistic,standard_deviation,441.24066162109375
168,head,pessimistic,standard_deviation,439.17814329557024
169,tail,pessimistic,standard_deviation,441.6817586587125
170,both,pessimistic,standard_deviation,440.97002120670464
171,head,optimistic,hits_at_1,0.5185185185185185
172,tail,optimistic,hits_at_1,0.4773662551440329
173,both,optimistic,hits_at_1,0.49794238683127573
174,head,realistic,hits_at_1,0.0
175,tail,realistic,hits_at_1,0.0
176,both,realistic,hits_at_1,0.0
177,head,pessimistic,hits_at_1,0.0
178,tail,pessimistic,hits_at_1,0.0
179,both,pessimistic,hits_at_1,0.0
180,head,optimistic,hits_at_3,0.5185185185185185
181,tail,optimistic,hits_at_3,0.4773662551440329
182,both,optimistic,hits_at_3,0.49794238683127573
183,head,realistic,hits_at_3,0.0
184,tail,realistic,hits_at_3,0.0
185,both,realistic,hits_at_3,0.0
186,head,pessimistic,hits_at_3,0.0
187,tail,pessimistic,hits_at_3,0.0
188,both,pessimistic,hits_at_3,0.0
189,head,optimistic,hits_at_5,0.5185185185185185
190,tail,optimistic,hits_at_5,0.4773662551440329
191,both,optimistic,hits_at_5,0.49794238683127573
192,head,realistic,hits_at_5,0.0
193,tail,realistic,hits_at_5,0.0
194,both,realistic,hits_at_5,0.0
195,head,pessimistic,hits_at_5,0.0
196,tail,pessimistic,hits_at_5,0.0
197,both,pessimistic,hits_at_5,0.0
198,head,optimistic,hits_at_10,0.5185185185185185
199,tail,optimistic,hits_at_10,0.4773662551440329
200,both,optimistic,hits_at_10,0.49794238683127573
201,head,realistic,hits_at_10,0.0
202,tail,realistic,hits_at_10,0.0
203,both,realistic,hits_at_10,0.0
204,head,pessimistic,hits_at_10,0.0
205,tail,pessimistic,hits_at_10,0.0
206,both,pessimistic,hits_at_10,0.0
207,head,optimistic,z_hits_at_k,106.1969881364987
208,tail,optimistic,z_hits_at_k,98.00905811276914
209,both,optimistic,z_hits_at_k,144.4049297663728
210,head,realistic,z_hits_at_k,-1.1801606621158636
211,tail,realistic,z_hits_at_k,-1.1761870050563747
212,both,realistic,z_hits_at_k,-1.6661917831408164
213,head,pessimistic,z_hits_at_k,-1.1801606621158636
214,tail,pessimistic,z_hits_at_k,-1.1761870050563747
215,both,pessimistic,z_hits_at_k,-1.6661917831408164
216,head,optimistic,adjusted_hits_at_k,0.5157588607942227
217,tail,optimistic,adjusted_hits_at_k,0.47439086495836363
218,both,optimistic,adjusted_hits_at_k,0.4950744666890989
219,head,realistic,adjusted_hits_at_k,-0.005731596811998829
220,tail,realistic,adjusted_hits_at_k,-0.0056930694103750935
221,both,realistic,adjusted_hits_at_k,-0.005712332742204541
222,head,pessimistic,adjusted_hits_at_k,-0.005731596811998829
223,tail,pessimistic,adjusted_hits_at_k,-0.0056930694103750935
224,both,pessimistic,adjusted_hits_at_k,-0.005712332742204541
225,relation,standard,hits_at_1,0.00411522633744856
226,relation,standard,hits_at_3,0.02880658436213992
227,relation,standard,hits_at_5,0.0823045267489712
228,relation,standard,hits_at_10,0.32510288065843623
