Side,Rank_type,Metric,Value
tail,realistic,z_geometric_mean_rank,1.0013736409419156
both,realistic,z_geometric_mean_rank,1.5425273867478388
head,pessimistic,z_geometric_mean_rank,1.21196292565703
tail,pessimistic,z_geometric_mean_rank,1.0013664563285456
both,pessimistic,z_geometric_mean_rank,1.5425184491700676
head,optimistic,arithmetic_mean_rank,820.0288065843621
tail,optimistic,arithmetic_mean_rank,850.2674897119341
both,optimistic,arithmetic_mean_rank,835.1481481481482
head,realistic,arithmetic_mean_rank,820.02880859375
tail,realistic,arithmetic_mean_rank,850.2675170898438
both,realistic,arithmetic_mean_rank,835.1481323242188
head,pessimistic,arithmetic_mean_rank,820.0288065843621
tail,pessimistic,arithmetic_mean_rank,850.2674897119341
both,pessimistic,arithmetic_mean_rank,835.1481481481482
head,optimistic,harmonic_mean_rank,122.31780462071595
tail,optimistic,harmonic_mean_rank,127.01118547757187
both,optimistic,harmonic_mean_rank,124.62032083607141
head,realistic,harmonic_mean_rank,122.31779479980469
tail,realistic,harmonic_mean_rank,127.01119232177734
both,realistic,harmonic_mean_rank,124.62031555175781
head,pessimistic,harmonic_mean_rank,122.31780462071595
tail,pessimistic,harmonic_mean_rank,127.01118547757187
both,pessimistic,harmonic_mean_rank,124.62032083607141
head,optimistic,z_inverse_harmonic_mean_rank,1.848573209049234
tail,optimistic,z_inverse_harmonic_mean_rank,1.712421816215267
both,optimistic,z_inverse_harmonic_mean_rank,2.5181588384751983
head,realistic,z_inverse_harmonic_mean_rank,1.848573487593681
tail,realistic,z_inverse_harmonic_mean_rank,1.7124215967430878
both,realistic,z_inverse_harmonic_mean_rank,2.518159220557285
head,pessimistic,z_inverse_harmonic_mean_rank,1.848573209049234
tail,pessimistic,z_inverse_harmonic_mean_rank,1.712421816215267
both,pessimistic,z_inverse_harmonic_mean_rank,2.5181588384751983
head,optimistic,geometric_mean_rank,598.7996596525682
tail,optimistic,geometric_mean_rank,611.4833903846071
both,optimistic,geometric_mean_rank,605.1082928249302
head,realistic,geometric_mean_rank,598.7996215820312
tail,realistic,geometric_mean_rank,611.4830932617188
both,realistic,geometric_mean_rank,605.1080322265625
head,pessimistic,geometric_mean_rank,598.7996596525682
tail,pessimistic,geometric_mean_rank,611.4833903846071
both,pessimistic,geometric_mean_rank,605.1082928249302
head,optimistic,count,243.0
tail,optimistic,count,243.0
both,optimistic,count,486.0
head,realistic,count,243.0
tail,realistic,count,243.0
both,realistic,count,486.0
head,pessimistic,count,243.0
tail,pessimistic,count,243.0
both,pessimistic,count,486.0
head,optimistic,adjusted_geometric_mean_rank_index,0.07688242359204644
tail,optimistic,adjusted_geometric_mean_rank_index,0.06352546673226012
both,optimistic,adjusted_geometric_mean_rank_index,0.06929166992039248
head,realistic,adjusted_geometric_mean_rank_index,0.07688248238027284
tail,realistic,adjusted_geometric_mean_rank_index,0.06352592251537004
both,realistic,adjusted_geometric_mean_rank_index,0.06929207140647464
head,pessimistic,adjusted_geometric_mean_rank_index,0.07688242359204644
tail,pessimistic,adjusted_geometric_mean_rank_index,0.06352546673226012
both,pessimistic,adjusted_geometric_mean_rank_index,0.06929166992039248
head,optimistic,adjusted_inverse_harmonic_mean_rank,0.003605750980637888
tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.003329108322307198
both,optimistic,adjusted_inverse_harmonic_mean_rank,0.0034674277882192003
head,realistic,adjusted_inverse_harmonic_mean_rank,0.0036057515239552463
tail,realistic,adjusted_inverse_harmonic_mean_rank,0.003329107895632735
both,realistic,adjusted_inverse_harmonic_mean_rank,0.00346742831433456
head,pessimistic,adjusted_inverse_harmonic_mean_rank,0.003605750980637888
tail,pessimistic,adjusted_inverse_harmonic_mean_rank,0.003329108322307198
both,pessimistic,adjusted_inverse_harmonic_mean_rank,0.0034674277882192003
head,optimistic,inverse_arithmetic_mean_rank,0.0012194693551867595
tail,optimistic,inverse_arithmetic_mean_rank,0.0011761004767320863
both,optimistic,inverse_arithmetic_mean_rank,0.0011973923455585614
head,realistic,inverse_arithmetic_mean_rank,0.0012194693554192781
tail,realistic,inverse_arithmetic_mean_rank,0.0011761004570871592
both,realistic,inverse_arithmetic_mean_rank,0.0011973923537880182
head,pessimistic,inverse_arithmetic_mean_rank,0.0012194693551867595
tail,pessimistic,inverse_arithmetic_mean_rank,0.0011761004767320863
both,pessimistic,inverse_arithmetic_mean_rank,0.0011973923455585614
head,optimistic,median_absolute_deviation,590.0756829652296
tail,optimistic,median_absolute_deviation,677.5492138570601
both,optimistic,median_absolute_deviation,639.0015561759144
head,realistic,median_absolute_deviation,590.07568359375
tail,realistic,median_absolute_deviation,677.5492553710938
both,realistic,median_absolute_deviation,639.0015869140625
head,pessimistic,median_absolute_deviation,590.0756829652296
tail,pessimistic,median_absolute_deviation,677.5492138570601
both,pessimistic,median_absolute_deviation,639.0015561759144
head,optimistic,adjusted_arithmetic_mean_rank_index,0.06608198248293706
tail,optimistic,adjusted_arithmetic_mean_rank_index,0.037942110194815304
both,optimistic,adjusted_arithmetic_mean_rank_index,0.05196583395207166
head,realistic,adjusted_arithmetic_mean_rank_index,0.06608198019168232
tail,realistic,adjusted_arithmetic_mean_rank_index,0.03794207918087178
both,realistic,adjusted_arithmetic_mean_rank_index,0.05196585193643777
head,pessimistic,adjusted_arithmetic_mean_rank_index,0.06608198248293706
tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.037942110194815304
both,pessimistic,adjusted_arithmetic_mean_rank_index,0.05196583395207166
head,optimistic,z_arithmetic_mean_rank,1.7830744649418229
tail,optimistic,z_arithmetic_mean_rank,1.0238569542827385
both,optimistic,z_arithmetic_mean_rank,1.9830459127032398
head,realistic,z_arithmetic_mean_rank,1.783074403117439
tail,realistic,z_arithmetic_mean_rank,1.0238561173803724
both,realistic,z_arithmetic_mean_rank,1.9830465989969284
head,pessimistic,z_arithmetic_mean_rank,1.7830744649418229
tail,pessimistic,z_arithmetic_mean_rank,1.0238569542827385
both,pessimistic,z_arithmetic_mean_rank,1.9830459127032398
head,optimistic,variance,239141.69875865808
tail,optimistic,variance,258948.78030110587
both,optimistic,variance,249273.8340192044
head,realistic,variance,239141.703125
tail,realistic,variance,258948.78125
both,realistic,variance,249273.84375
head,pessimistic,variance,239141.69875865808
tail,pessimistic,variance,258948.78030110587
both,pessimistic,variance,249273.8340192044
head,optimistic,adjusted_arithmetic_mean_rank,0.9339932833214982
tail,optimistic,adjusted_arithmetic_mean_rank,0.9621008223362545
both,optimistic,adjusted_arithmetic_mean_rank,0.948093159714882
head,realistic,adjusted_arithmetic_mean_rank,0.9339932856101433
tail,realistic,adjusted_arithmetic_mean_rank,0.9621008533151049
both,realistic,adjusted_arithmetic_mean_rank,0.9480931417509324
head,pessimistic,adjusted_arithmetic_mean_rank,0.9339932833214982
tail,pessimistic,adjusted_arithmetic_mean_rank,0.9621008223362545
both,pessimistic,adjusted_arithmetic_mean_rank,0.948093159714882
head,optimistic,standard_deviation,489.0211639169189
tail,optimistic,standard_deviation,508.870101598734
both,optimistic,standard_deviation,499.2733059349402
head,realistic,standard_deviation,489.02117919921875
tail,realistic,standard_deviation,508.8701171875
both,realistic,standard_deviation,499.2733154296875
head,pessimistic,standard_deviation,489.0211639169189
tail,pessimistic,standard_deviation,508.870101598734
both,pessimistic,standard_deviation,499.2733059349402
head,optimistic,hits_at_1,0.00411522633744856
tail,optimistic,hits_at_1,0.0
both,optimistic,hits_at_1,0.00205761316872428
head,realistic,hits_at_1,0.00411522633744856
tail,realistic,hits_at_1,0.0
both,realistic,hits_at_1,0.00205761316872428
head,pessimistic,hits_at_1,0.00411522633744856
tail,pessimistic,hits_at_1,0.0
both,pessimistic,hits_at_1,0.00205761316872428
head,optimistic,hits_at_3,0.00411522633744856
tail,optimistic,hits_at_3,0.00823045267489712
both,optimistic,hits_at_3,0.006172839506172839
head,realistic,hits_at_3,0.00411522633744856
tail,realistic,hits_at_3,0.00823045267489712
both,realistic,hits_at_3,0.006172839506172839
head,pessimistic,hits_at_3,0.00411522633744856
tail,pessimistic,hits_at_3,0.00823045267489712
both,pessimistic,hits_at_3,0.006172839506172839
head,optimistic,hits_at_5,0.00823045267489712
tail,optimistic,hits_at_5,0.012345679012345678
both,optimistic,hits_at_5,0.0102880658436214
head,realistic,hits_at_5,0.00823045267489712
tail,realistic,hits_at_5,0.012345679012345678
both,realistic,hits_at_5,0.0102880658436214
head,pessimistic,hits_at_5,0.00823045267489712
tail,pessimistic,hits_at_5,0.012345679012345678
both,pessimistic,hits_at_5,0.0102880658436214
head,optimistic,hits_at_10,0.012345679012345678
tail,optimistic,hits_at_10,0.012345679012345678
both,optimistic,hits_at_10,0.012345679012345678
head,realistic,hits_at_10,0.012345679012345678
tail,realistic,hits_at_10,0.012345679012345678
both,realistic,hits_at_10,0.012345679012345678
head,pessimistic,hits_at_10,0.012345679012345678
tail,pessimistic,hits_at_10,0.012345679012345678
both,pessimistic,hits_at_10,0.012345679012345678
head,optimistic,z_hits_at_k,1.376438118803531
tail,optimistic,z_hits_at_k,1.388948644542561
both,optimistic,z_hits_at_k,1.9554062718058016
head,realistic,z_hits_at_k,1.376438118803531
tail,realistic,z_hits_at_k,1.388948644542561
both,realistic,z_hits_at_k,1.9554062718058016
head,pessimistic,z_hits_at_k,1.376438118803531
tail,pessimistic,z_hits_at_k,1.388948644542561
both,pessimistic,z_hits_at_k,1.9554062718058016
head,optimistic,adjusted_hits_at_k,0.006684842654815971
tail,optimistic,adjusted_hits_at_k,0.00672289440950608
both,optimistic,adjusted_hits_at_k,0.006703868896588104
head,realistic,adjusted_hits_at_k,0.006684842654815971
tail,realistic,adjusted_hits_at_k,0.00672289440950608
both,realistic,adjusted_hits_at_k,0.006703868896588104
head,pessimistic,adjusted_hits_at_k,0.006684842654815971
tail,pessimistic,adjusted_hits_at_k,0.00672289440950608
both,pessimistic,adjusted_hits_at_k,0.006703868896588104
relation,standard,hits_at_1,0.00411522633744856
relation,standard,hits_at_3,0.03292181069958848
relation,standard,hits_at_5,0.0823045267489712
relation,standard,hits_at_10,0.2139917695473251
